txId1,txId2
230423018,232392936
230423318,230423018
230432611,230966618
232457903,11011839
232047899,232438397
230437630,230649117
1913117,233227310
232035051,232036661
5662056,230522934
232037400,232037399
232392936,232392931
230438482,230438479
230331387,231993291
1913117,233842379
232448785,232448783
230438482,232440028
232039890,232039888
7089694,60492027
230473314,230523246
232679753,231573972
231995683,230473477
232901095,57801713
232039861,230468700
232034707,71724941
230338249,230436750
232453418,231836233
230439297,232392089
232440111,232444502
230432972,232043907
232051671,232051667
232438397,92491280
231993125,230444451
2855928,151078127
212359535,183140871
3420566,3877087
230438487,230438486
230468057,3882798
230451734,230451730
3403763,232351322
230336050,230601403
230456717,232438397
232464796,54735205
232669764,232034952
230456385,230456384
230448391,3916897
1913117,2717498
230464776,230464771
230461031,230461033
230456719,232438397
3878647,3846528
232051527,37231293
230595710,232348091
36787463,230473483
3925879,3881050
231998131,230770487
230339481,232034946
7757447,230901075
230527319,3913226
230391411,230456623
231996121,230473483
231995755,230473483
230531168,232386556
230456618,230531645
232034950,230464782
231996118,230473483
231995676,230473477
230438474,232444501
230331217,232339043
232350958,232351007
232351007,34984461
87823623,21696830
229695175,230473477
3878618,3878633
232440023,230680289
232031824,53678687
232034949,230464782
232464260,54732833
3391129,230442067
45874911,230473483
3878899,232464074
230349591,230602355
232472197,232472206
230461032,232440027
230438854,232438397
71373899,231179652
3761361,232029206
3857826,3880822
232440098,230681578
232472220,230680288
230339770,230470033
230472241,232438397
232039084,232902113
28297225,232402715
232471961,232472197
232043907,232438397
230465227,232440023
16754007,232438397
60492027,232470342
231036727,231177074
206786861,230473477
232440097,232443613
230465378,232031824
102874126,232470504
4860508,4443254
30074536,230456734
232042947,232438397
230439442,232906716
227105852,230473483
232907885,118658775
230438486,232443223
230418063,232438397
230337461,231993291
230436743,232437283
232034939,232034936
230968952,231178359
230966618,232438397
232907285,234459963
232033966,183320189
230338678,232073795
230595710,232034939
227338369,230522934
37232600,21696456
3205536,230451730
232013266,232029206
3403752,3401438
7089693,232438397
230389796,2717498
230448370,3878618
230456734,232438397
192823764,206142478
232906649,232440027
230526083,230525732
231995762,230473483
230334819,232346245
71367715,232438397
232907295,65795604
230461031,232439983
230636186,230746742
230432792,230969378
230442067,7089693
230472241,232544880
231028597,232438397
230333626,230602355
232401224,22949008
230456625,230456618
232353291,232451413
2311553,230391409
230445946,3876980
232034264,232437954
3881497,232456360
9425781,34300577
231995679,230473477
230650549,230550393
230594649,232672940
3875725,232438397
95679861,230473483
1913117,13239490
232031789,232031788
21696455,293323
3880576,3880066
3851279,121435080
230941366,232054853
231180839,16640457
232006620,232438397
232443223,232472215
231996109,230473483
230459282,232900729
232448418,232448416
232042969,232679753
195227601,3740000
230946555,230473483
230594521,232034264
232353289,232470342
230438483,230439442
230423018,232438397
230680288,230529165
3876512,232438397
231029351,232438397
1913117,209968186
231990435,232903605
232448399,232448397
14843991,232460557
230647320,232438397
231028826,232438397
17796937,230456623
230529053,232472215
230336184,18249608
232906420,232443618
14353875,230473599
230644286,5662056
232039074,232440131
230684633,15087677
231996126,230473483
230461032,230461031
232812034,213736040
231035673,232042947
149112705,230473477
230438487,230461033
230527331,230527319
232039888,196538395
184703182,231573972
11011839,230528762
73235357,31919623
232339043,231993291
3420566,3424859
232909458,231196797
3849610,232403758
3419291,60492027
7550645,230394591
230456719,230456714
230451730,2717498
232892365,230578938
232437954,230528720
14847524,230550396
59184908,232448362
230628190,230550393
231178359,27929553
230531646,230529025
1913117,233229832
10983754,230451730
230446342,3376469
210449235,232437287
27800808,232451376
230523203,230523200
230945818,3880576
208587985,24138725
230452759,232905682
230523203,230681578
230465357,230579563
230649117,232440097
230969378,232438397
4454658,230473598
17128828,230456630
230438845,232438397
231995064,232468876
17387772,2717498
230331370,231993291
232456357,36419682
232443614,232443613
232431904,227338369
1913117,232124773
230432810,232042915
3877156,232438397
230354696,14942862
71369010,232438397
230436750,55022339
230341375,230969226
230595329,40297647
230438466,232443614
3881034,3857990
90523481,28191716
232029206,5119722
232360625,230670913
232054853,2717498
55639381,40255840
232345690,230456623
14060213,36763524
230946668,232029206
230436736,230793200
219861308,232437943
231990430,232903605
230437700,232438397
3401448,3401466
231995681,230473477
232039074,205392811
3401438,232470342
230461358,232467026
230592118,230442067
230465203,230550393
232443613,230529019
3881167,3904474
3881827,87977367
231036638,232438397
232439175,232439173
232444504,232444502
3880822,232438397
230448070,3925879
3878647,3857656
230456623,230456618
230418891,232907277
230847053,32858679
232035051,230438482
3881034,73235357
230539744,231993291
231995678,230473477
232440109,232444882
230522946,230522941
230336197,230530244
3851887,232438397
230437630,232906420
230681578,230523212
231996115,230473483
230649107,232438397
232437943,230630134
230335044,230457445
232440137,36350939
230447409,3881034
232440097,232440030
230468013,232375024
3391152,37232616
195237910,232039888
230465736,232910077
1913117,232907868
230335044,218528901
15192868,232680483
3877875,2868852
230331390,231993291
231043940,232438397
232910077,231440875
230464771,232440111
232036650,232036647
3903408,232438397
232346245,232029206
232036661,232037403
36189820,230473477
3882798,232909458
232033968,87823623
230424173,232431904
232440030,232471961
232907277,230578937
1913117,232453418
113371659,230473479
3873829,3879955
36716791,230442067
27553029,230411688
230530336,230578501
230328024,230518297
1913117,230550393
206222134,226889376
183320189,232437292
231995677,230473477
232348091,232034949
230339486,232034946
71724941,230456384
3846528,230679204
232352910,230391411
3876606,3903408
230438483,230438479
230390524,232907277
230530244,183140871
230440348,232438397
1913117,232438397
231996108,230473483
232456360,230528721
232637274,232956935
52418452,7089694
232348846,3739261
232349074,232050355
232439983,232440030
232031789,232034936
230448396,3881183
230466907,231169665
232431931,232432895
230595336,232348091
232034946,232036658
218528901,230941366
225653584,230473477
230458583,230458578
230465227,232443614
232453410,14843588
1913117,232457903
230523212,230523207
232036647,232440111
65795604,15087677
232472215,232472220
11343564,232029206
232453645,13773398
214640857,226889376
230461033,232443614
212706577,36350939
230521268,230521266
232071096,9425781
230520120,54732326
230438479,232906420
230456624,230456618
230965656,232438397
230394591,232375024
230338694,232036654
3401448,232042969
230438540,230622715
232345692,230456623
75600727,232903177
230622715,4840269
232348856,232348855
195237911,226889376
232396270,2821439
205392811,232439173
51096093,232438397
230529009,2868852
230331385,231993291
230446528,14060213
3899847,232464796
230659437,232033966
230529019,230680288
230339770,72291442
23518684,48355954
230680289,230529053
230336050,14942862
230459277,230515993
230461049,2858652
230621237,21696461
232014505,230461032
231177074,27800808
3878589,230520418
230527765,230527774
35025113,232438397
232377173,230770487
3876462,2877834
230649124,232438397
232457123,230681545
232443618,232444504
226907304,230557036
230461033,232906649
195233844,196538395
232027347,230577432
232348091,232037403
3912536,232438397
230645826,231028597
230438107,230704774
231196797,231179875
48355954,230456714
16753577,230612860
232052547,232438397
230539743,231993291
230704774,232439369
230449518,232438397
213736062,232925742
22179034,232438397
14843588,12776468
230391411,230391409
9425781,17128828
232905682,231181199
230473306,65795604
230423455,226907304
232014513,232014511
231998448,231998131
75604916,230621237
195237911,232029206
230457445,232039084
232448379,230523203
24141114,230550396
230465376,13995945
232349132,232456357
232042915,232438397
230594153,21696456
232034946,230438483
230651829,230550393
232037102,232034949
232629023,231573972
230595373,63006056
232461244,230634613
231996114,230473483
232903605,230552340
232008165,230438538
37232633,230452759
230579563,232812034
230456710,232925742
230456717,230456714
234459963,98259794
232906716,231241751
230539732,230539729
71369986,9221284
232034952,232037399
34381792,232031824
230436754,210449235
230467965,232029206
3899847,3877875
231499595,232904028
232051672,232438397
232051667,232051672
6271519,312358048
32316521,310470737
310159295,312202384
312904853,243647790
735881,260549093
11484501,314885856
310110708,310110706
310444315,313110014
251875725,312909591
310427035,310427033
310137589,314862780
310075985,314833118
310130850,310130846
310523446,310523440
273590966,243647790
310468655,313111708
310140290,314862780
312358048,312879230
312180324,310517063
312171166,310087644
6271519,314838117
310468166,310468163
310048974,310686190
11484501,310495680
11484501,312940644
310437706,310437628
6271519,314838112
309960770,309960762
289269312,310524764
312834007,310493405
312878145,310494241
310098066,313026359
310468207,310468172
243647790,310520421
312172708,310164763
311055136,310757556
978934,310170119
314875533,310526433
312890342,310489580
310469460,207092187
309950452,310499252
310483032,313117241
6271519,312357691
310438836,313105511
312849962,310524769
735881,314851755
310471882,310471878
309948098,314889305
310510646,310510629
10304380,260549103
310444328,238965525
309968509,251875725
5377211,247641192
310526433,310526428
314862780,314862789
313965267,310723104
310469462,310469460
310432103,311042401
312913330,310496612
310800251,313113567
312170431,65179343
312869027,312869044
312177192,28852285
309959968,309959754
309950472,310468684
312358187,312879230
978934,314831527
13403438,310494239
312820665,310471939
309948270,312876019
310438835,310438834
286654752,309959432
276594799,312849962
312157372,309952162
312891311,314868916
312157372,313118587
309959432,310686190
10304380,312876019
310471614,310471612
310511475,310511258
310723346,313986748
10304380,260549108
313145372,313965267
312106094,312923717
310139414,310140054
310427990,310800950
310467276,310467003
310492706,310492699
310520089,141225153
310471938,310471936
310428703,311042401
32316521,314831527
310483222,310483032
310095474,310469186
310438838,310438836
259657574,310511258
312359540,312834007
312334552,310686190
310469166,310469164
312148678,313096465
978934,310459017
310157130,310524769
310430390,310511258
309947526,314679730
312849503,313118587
309968498,312910309
310160798,310495036
272556463,304089856
311054617,310469139
310495680,313119203
309978153,314872278
6271519,310170119
309960768,309960762
10304380,312923717
735881,314839662
310469120,310468688
311054609,310471939
312803077,314846561
309935582,313118940
310438868,310765151
310467001,310466993
310468684,310468680
11484501,310494445
309911675,313096473
310064558,310064556
310524769,310524764
310475721,310475715
33653824,312357691
310434147,310468688
289270308,309959432
310120535,310464798
310511477,310511258
312864891,310524769
312173060,311053498
312192463,312221352
296057714,310524769
313145368,311055807
312845530,310486000
309927436,309968509
309966721,312923717
276537192,196397264
312351365,312878145
310477627,276537192
312353051,310471414
311039803,312352417
312199020,312850301
310722551,313113561
309956894,309956890
12902106,310470351
735881,310459038
310159799,314833118
310110709,310469463
273139658,314833118
312826285,310469139
310468167,310468163
286784958,310524769
259979296,312878145
312166539,312360355
310098066,310098060
309957370,309957367
310159793,310159791
310471939,310471936
312865534,310524769
312172715,310463951
312850498,314863045
310140274,310140290
273891457,314889305
310468407,310468406
27713316,310470603
310511482,310511258
978934,310494239
310496612,310496598
310495036,310494997
310438238,313107639
310511479,310511258
310043610,313118587
6271519,310686190
309957570,309957585
310494997,313119227
312357691,312878145
310486000,310511475
310170335,311055136
312820136,314846561
310444322,313110014
11484501,310149976
310475830,313119227
310489141,272556463
312803836,313096473
309957367,309957373
212659519,310170119
313139898,310432095
310520604,310520421
310432103,310759798
310475824,310475820
309968506,309968498
33653824,310149976
309960758,310680894
310524772,310524764
314832742,310471299
312803849,310800226
310101268,310532392
312354618,310471415
310063236,28852285
310437628,310723810
310140273,310140274
273397921,79596662
310483032,310483430
310140054,310140273
310113101,310462965
312883962,310524769
309959438,309959432
310494445,313119213
309949002,310172257
309956890,307974286
309961284,312923717
310438261,310758560
312859992,310489791
310469139,310469134
313145368,313113564
310160792,310471882
310503108,310499362
11484501,310494231
309956890,270463681
310469463,310469460
310468167,310468166
310494241,310494239
310438789,310801377
310063654,310686190
310495033,310494997
310110706,310440095
310468664,310468663
310432095,310509967
312195522,312356147
245425318,195634780
244772934,245284615
244350187,246430217
245251864,245418908
245811294,246091598
245232373,245430353
246076820,246409645
245170291,245227132
245427895,250223026
245415105,245943914
244797640,200393824
244306895,245360659
245242177,245795488
246126415,246235386
245379015,244672959
245361533,244688630
245178167,245178122
141510295,245231977
246371229,246460190
244689337,245235505
244688162,244688153
244662731,250028867
245241272,245241267
245390000,246140564
245831204,245831212
245200285,245200284
246033062,246408448
244681152,245243928
245243533,246387308
244309926,245464295
245284615,246142956
245146113,245418908
213821496,245140939
245414818,128710633
122326,245424375
245411348,245411353
245413465,245818969
244684622,245418908
245425045,245424768
244315536,244688586
245171017,246088773
245140939,245921886
245379412,245433833
244352288,244688594
244691083,245244077
245163929,245789143
245825010,245825019
245818326,245818320
246387326,246339604
245228779,245228771
244790876,245284615
246691337,250207731
245244080,245244077
245826024,245825687
245240424,245424519
245235505,245424375
245714324,245714322
245267068,245438786
244666018,244666233
246078972,246079343
244662463,245968120
245466224,245430353
246372606,246612739
245266481,245266337
244686494,247360864
245363127,244688630
216054443,245929102
245414221,246408476
245321910,244762475
244662708,245176364
244299645,245341775
9667606,244688630
245217117,246403193
245411333,245834867
244351171,118383459
245424375,245424187
245243928,245417415
245363377,244688674
245140925,245921886
245231221,246276243
245424517,245424512
246107110,245968608
245413465,172510547
244338485,245939847
244364028,245495462
245241275,245438780
245241124,246213746
244700728,246187558
244351620,213821496
245411024,245411017
244370017,246188207
246814442,246815452
245358663,246133817
244702009,245420853
245170632,246134689
229108361,245795488
245200600,245200594
245178122,245223868
245414818,246403193
245188209,171360540
245430353,245430349
245224595,246373430
244688586,244688578
244352270,216054443
246114382,247583955
246114949,246381248
244690441,245984704
245921886,245922352
244701916,245789729
219818229,245228779
245224458,245792417
245818969,245819119
245830454,245830451
244662666,246077501
245177384,246078972
245379412,246129196
245411333,199840946
245402490,245827020
245795520,245795517
245432335,246246457
202898115,246409645
245188209,246079353
245814807,245814813
246187558,245826024
245360614,244688143
9667606,245929102
244698090,245255413
244688655,245248601
245424519,245424512
28019606,244797640
245177803,245831204
245240477,246391078
244306902,245363127
109727611,246346984
245361518,244688586
244676382,245248601
244662679,246078917
244666014,244666009
245171017,245224458
245426072,250223005
246078917,246078960
245818326,246079375
244688578,245235505
244306717,244688162
245379412,244688630
244688153,245247919
246099528,246099856
245321910,246814442
245334905,246129196
246114866,250210128
245234433,245424517
244338786,185047279
246078972,246372606
244690775,118492072
244285202,245379015
245238190,245402490
246106614,246217546
245825018,245825010
245475137,245929102
245266671,211149189
245198208,246116375
244684989,245795488
245196495,245424517
244662723,244662716
244666009,245812809
4251198,246134689
244666018,245183171
245146107,245418908
244685948,245226295
246366503,112915489
244309668,245939847
245420853,246399123
244308475,244688642
245428162,246408448
246149106,246414702
244687666,245423749
245870916,245939847
245140933,245424768
244679645,244679638
245170632,245227132
245922235,245922352
245438786,245438780
246382001,246345246
245183171,245183180
232298403,246409645
245170670,245170659
245239163,245427452
245210349,245427448
244666009,240477091
245466038,245424517
246363180,246363232
244797640,245987703
245362701,244688630
246077501,246371229
141510295,100935434
279440575,86925834
26213002,86945882
3401518,87752152
75714015,22838024
87066052,86725111
87615027,87399967
87690267,86962611
86736329,58075730
86788735,3481266
10346912,86945882
86674385,279056082
26213002,279187194
2512724,87400211
279932332,279932335
279199930,76355333
86814685,87745943
86565732,86565726
22837913,22837876
88419378,88426942
86827125,280133653
86817324,22837970
9577048,88195371
87400119,87718724
88262425,279135817
86783611,77235857
86788735,86788714
86563516,279151457
86925701,87716800
87408290,57901321
279134038,92987394
10346912,2919000
86801355,279460808
52269297,279961807
86816027,22837980
86973101,31418337
86734904,41327438
86612855,279187194
279441574,87215839
86746247,73171316
86736305,86816914
86788793,86788714
8801543,22838028
86565732,50044933
87627590,86746247
2512724,279185860
279205075,279205061
86752803,86735938
86817324,86810205
279151488,127337013
87626508,87626486
58046958,86734567
22837844,22837980
87119029,87853285
86734921,86734910
279442057,86924552
86572204,279026173
86732000,279440575
37217978,19944082
87631240,86805587
12129984,279488120
8071253,279151488
22837969,22837859
86631239,87627590
87628292,52269297
87627008,279187194
87627055,141051803
87286014,86962611
86736272,220690413
2512724,279190093
22837907,22837806
34952355,87688465
16082366,86797668
86842877,86842869
124373504,13156081
22837908,22837927
86562457,86945882
86706819,86706815
258961960,86962611
2512724,87400183
86736305,57941767
28029883,88195347
279218401,42975826
86608871,279472690
70929916,279199930
8909929,59301350
86752803,42975826
87606216,279046304
86612259,270710028
86614412,58387204
55005322,75164817
87752152,87752151
86565726,58143038
18492589,42257137
22837779,22837847
54966025,279511718
87169572,88040194
86827125,86827132
86842876,86842869
87628087,86805587
279460971,87030978
87658546,86850944
86555207,279129914
261505462,88028481
86673913,87780390
86922385,170683769
86738447,86738440
86837845,86837507
22837859,22837895
9683339,86922385
4969174,74602557
86816027,87950768
86730516,86730988
86563516,86563665
87602051,88117529
88195366,9577048
279026173,22838024
86555578,88232255
279185860,57416552
86832668,86832203
86802005,86940486
86648027,279482354
87764374,87169572
86646642,8614689
86924672,43357567
87780390,86962609
279018280,86783611
96258779,258961960
86695285,87627055
279948960,22837784
86796566,88126516
55848006,88196385
279012430,86721744
86605543,86797668
86735500,44980094
86734957,87719433
87627422,22838010
86828399,78640503
55129969,88117529
86599052,87606216
22837937,22837898
279768590,279463303
86838328,86838321
86617280,86617217
23302700,88426942
86720113,88222224
86794225,65497017
86810819,96406457
86674388,87780390
86729148,87626486
86699971,18390847
86618186,87628087
86828775,87745943
279026173,279482354
64596769,42975826
86816914,22837890
279012771,58046700
22837982,22837986
19516248,86962602
279142911,86735500
35718761,8681944
87718724,55129969
279035528,87066517
86805587,86805581
86752783,5427053
75744459,86797668
86844191,279436792
86809115,86809112
86667870,61024587
86752803,86752783
86562948,279023996
14351539,127549134
6502923,86781146
22837932,22838010
86720071,86720063
87737813,279441112
22838023,22837847
279440575,190510838
50044933,86601933
87719192,279524927
87400183,279151017
279491323,88419378
279013237,105020893
86929352,23302700
86642963,87626486
57413826,88227760
86732000,86732662
87745960,87745943
86737022,18492589
10346912,113991195
86562448,57901744
22837869,22837792
86643218,87636883
2512724,87401197
86925956,88196358
278996660,279218404
87215839,88387401
87626486,279039450
86787974,22838016
86540748,88117529
58120014,87713686
86745772,73164522
44995911,279424082
86730428,24564863
86809115,86810829
279056082,213164924
88232245,279205061
86797676,86797668
86734904,57920882
279062591,87764376
86595196,87626486
87187343,86947395
279459088,87993120
22838024,22837970
44066252,87286014
279472690,88117529
279191009,279932332
22837788,22837818
58143038,86765480
87764376,87764374
279150035,58080138
279961807,88028481
87855102,234304106
279018172,86734904
28117675,87771436
76355333,86828775
22838016,22837919
88195347,86975069
58042602,17686353
86726164,88039106
19028886,42975826
279437329,58136910
279148536,279211444
86809112,86983053
86614404,86809115
279056107,87752140
22837816,22837907
86780073,9683339
279023996,87495282
88262425,88262426
19480572,87626486
2512724,86797668
87627590,279187194
86648027,22837858
86611478,86973101
87719170,87719165
86735808,88976854
212738074,86962611
13642063,42975826
10471946,13642063
87400211,19587099
78523689,279199930
13642063,279185185
57416552,86723872
22837815,22837917
87484915,86937785
129504015,213164924
86735808,58074217
270710028,86796563
86572204,22837973
22837842,22837929
279071364,2462784
279199578,1348626
87627008,114771159
22837973,22837937
279151457,87963359
22837806,22838028
86796563,28029883
279442057,88515048
86809978,86980019
86612444,279948960
86564006,279012333
87626190,279205061
87695590,279524927
279129883,86736329
58046850,86734543
10538195,86816027
86745772,88040194
58041717,88011338
86631282,86801687
86723872,86723868
399523,86599059
11460682,279201907
86602524,86738384
87745943,87286014
86565726,86565736
279004203,86761325
87771422,86974165
32320039,86794225
22837890,22837845
22837876,22837908
279196904,61311611
223883435,134009152
224762780,224762782
214122424,225694064
101651006,225702141
224762778,224762780
224674905,224961186
224696694,225268074
225085793,225284941
225008399,225343293
225278788,225685706
225697230,225697224
224213367,225050070
23431274,225287026
223889737,224195615
206992398,224716014
224979020,225332162
224639742,225321659
137323997,225703422
224763990,224764006
224240404,224280369
224720218,225074122
224749054,105866229
225054473,225669997
32772483,225287026
132583729,225341775
225694297,225694064
224244357,224244356
225013459,97697809
58470150,224979344
225285287,225896268
116212140,13041648
224681854,225280861
225004790,132583729
141104806,224961260
224977662,195671463
224669325,224683068
224245299,225050331
224269443,196191138
224721563,225349118
224244303,224715427
224966159,225965303
225050331,36548283
224976574,225687592
224716019,224716017
224215099,155262215
226384519,225055330
224238942,140374658
224748057,225687932
224764399,224764408
225043640,225274763
166168950,224964993
224690866,224963547
224235597,171641481
225068972,225335000
224249329,224249326
224240402,185504556
224694540,224977316
223933402,224206694
130739472,225922662
224195615,224195596
223963451,224670672
225050070,225331853
226397712,225687034
183082706,225694064
157545507,183081223
224983657,224984298
225060819,225296034
117831752,225675075
224208343,224718397
224210242,224703708
225702379,225702141
224286509,224718084
224243746,224243751
224280369,225064313
178134701,225686309
224971976,157545507
224249331,224249326
140163156,225941237
224678415,224678423
225878404,225895804
224681967,225318839
155303227,68058382
224213365,225058724
150858042,225694064
138469234,225044196
223936058,120710612
223874242,223874250
225341793,225341775
181737909,163267183
104503281,224765128
225702380,225702141
224718397,225073409
225703426,225703422
224258483,225091936
140393664,224696686
224694547,225268075
224681964,224681967
224971478,226626503
224198210,224198208
224200255,224200474
224679724,225275788
184257644,225694297
225318516,225318508
223882539,225688961
225277374,225277931
223942957,225926279
225318819,225318829
224715276,224968869
225074114,97511592
224965187,225664750
224676986,136895245
78214879,225681854
225254445,225686709
224681830,224681839
808409,225362103
225013305,225867261
224681835,224681830
224696457,224696455
224207594,225070172
155262215,13616858
224195849,224195841
225892483,100454181
808409,225876186
224193088,224669833
149937831,225927804
151277978,185504556
73727935,225341775
225715272,226611450
224715854,149549849
223900600,224242777
167607701,224762802
175325581,225091936
224242777,225054359
225070172,151145257
223874242,226391356
224667872,225863277
224238684,225924026
34828962,225659194
224746327,225687583
224763984,224763990
225047768,178134700
59019453,224709062
224681964,225280781
192083869,138538273
224212618,224745590
224683766,224689992
155261753,140385383
171641481,224694540
224679731,224679724
224669202,225277374
177641201,224247900
208344403,226628871
225068977,225688961
183098036,224763192
224247891,224247885
224193103,224217528
224207589,224716311
224647679,225021636
36438817,225287026
224676966,224676978
223977411,215081069
139962845,225047488
225265915,225891669
