team,run_id,macro_f1,submitted_at,author_type,model,notes



Participant-1,form-submission,0.66942255,2026-03-05 08:26:00 UTC,human,GraphSAGE (3-layer),Submitted via Secure Google Form
Paticipant-2,form-submission,0.60909841,2026-03-07 19:06:09 UTC,human,Dual-Path Degree-Gated GraphSAGE,Submitted via Secure Google Form
Participant-3,form-submission,0.62051443,2026-03-07 21:24:20 UTC,human,GCN ,Submitted via Secure Google Form
Participant-4,form-submission,0.80633531,2026-03-11 15:22:11 UTC,human,2 Layer GAT with Skip Knowledge,Submitted via Secure Google Form
Participant-5,form-submission,0.48952987,2026-03-14 15:54:24 UTC,human,GAT,Submitted via Secure Google Form
Participant-6,form-submission,0.61423345,2026-03-21 15:46:50 UTC,human,Inductive GraphSAGE,Submitted via Secure Google Form
Participant-7,form-submission,0.71094004,2026-03-23 01:40:28 UTC,human,GCN,Submitted via Secure Google Form
Participant-8,form-submission,0.52378556,2026-03-27 12:20:52 UTC,human,Hybrid GNN,Submitted via Secure Google Form
Participant-9,form-submission,0.58539933,2026-03-28 21:07:08 UTC,human,,Submitted via Secure Google Form
Participant-10,form-submission,0.76659330,2026-03-31 14:31:39 UTC,human,BiGCN,Submitted via Secure Google Form
Participant-11,form-submission,0.76745070,2026-04-02 22:33:57 UTC,human,GraphSAGE,Submitted via Secure Google Form
Participant-12,form-submission,0.78582140,2026-04-03 09:28:40 UTC,human,GAT,Submitted via Secure Google Form
Participant-13,form-submission,0.40297732,2026-04-03 11:10:56 UTC,human,GCN,Submitted via Secure Google Form
Participant-14,form-submission,0.63305426,2026-04-04 00:19:42 UTC,human,GCN,Submitted via Secure Google Form
Participant-15,form-submission,0.65300333,2026-04-04 01:26:47 UTC,human,GraphSAGE,Submitted via Secure Google Form
Participant-16,form-submission,0.63416355,2026-04-04 21:53:40 UTC,human,GCN,Submitted via Secure Google Form
Participant-17,form-submission,0.80557548,2026-04-09 05:24:21 UTC,human,GCN,Submitted via Secure Google Form
Participant-18,form-submission,0.73522504,2026-04-10 11:14:33 UTC,human,GraphSAGE.,Submitted via Secure Google Form
LLM_Gemini-3-Flash,form-submission,0.77967074,2026-05-14 06:11:53 UTC,LLM,GCN,Submitted via Secure Google Form
llm_claude_opus-47,form-submission,0.76209360,2026-05-16 13:37:20 UTC,LLM,GraphSAGE (3-layer),Submitted via Secure Google Form
Team_gpt5-4,form-submission,0.77568833,2026-05-16 23:11:28 UTC,LLM,model,Submitted via Secure Google Form
DeepSeek-v4-pro,form-submission,0.78145445,2026-05-17 09:19:49 UTC,LLM,-,Submitted via Secure Google Form
llm_gemini_25_pro,form-submission,0.83604370,2026-05-17 16:10:48 UTC,LLM,GATv2,Submitted via Secure Google Form
Claude_opus_4_6,form-submission,0.81830220,2026-05-18 14:43:32 UTC,LLM,GCN,Submitted via Secure Google Form
Llama_33_70B,form-submission,0.72790402,2026-05-19 05:19:13 UTC,human,GNN,Submitted via Secure Google Form
Qwen2.5-Coder-32B-Instruct,form-submission,0.69819912,2026-05-20 09:24:00 UTC,LLM,GCNConv,Submitted via Secure Google Form
